Date:2026.05.15
Time:13:54:02
File_name:C:\LCR Meter\20260515135400.csv
Version:2.00
Instrument Version:
***************LIST SETUP***************
Step,Freq,Level,speed,DC Bais,AC-Range,DC-Range,Trig Delay,AC/DC Delay,Average,ALC,RO,1-Func,1-Comp Mode,1-Standard,1-High,1-Low,2-Func,2-Comp Mode,2-Standard,2-High,2-Low,3-Func,3-Comp Mode,3-Standard,3-High,3-Low,4-Func,4-Comp Mode,4-Standard,4-High,4-Low
1,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
2,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
3,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
4,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
5,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
6,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
7,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
8,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
9,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
10,1kHz,1V,MED,0,AUTO,AUTO,0,0,1,OFF,100,LS,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0,OFF,OFF,0,0,0
